,buyer-count,player-count,accumulated-hours-played,player-frac-of-buyer,avg-hours-played,std-hours-played
007 Legends,1,1,0.7,1.0,0.7,0.0
0RBITALIS,3,3,1.2,1.0,0.39999999999999997,0.17320508075688773
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),7,5,20.0,0.7142857142857143,4.0,4.406812907306141
10 Second Ninja,6,2,5.9,0.3333333333333333,2.95,3.464823227814083
"10,000,000",1,1,3.6,1.0,3.6,0.0
100% Orange Juice,10,9,78.30000000000001,0.9,8.700000000000001,13.832750991758653
1000 Amps,2,1,0.1,0.5,0.1,0.0
12 Labours of Hercules,10,7,34.699999999999996,0.7,4.957142857142856,3.1176150836053846
12 Labours of Hercules II The Cretan Bull,12,8,34.29999999999999,0.6666666666666666,4.287499999999999,5.374393653507077
12 Labours of Hercules III Girl Power,6,3,19.6,0.5,6.533333333333334,4.680099714037441
140,13,5,6.3,0.38461538461538464,1.26,0.5813776741499452
15 Days,1,1,0.5,1.0,0.5,0.0
16 Bit Arena,7,0,0.0,0.0,0.0,0.0
16bit Trader,3,2,8.9,0.6666666666666666,4.45,0.3535533905932738
1701 A.D. Gold Edition,1,0,0.0,0.0,0.0,0.0
1701 A.D. Sunken Dragon,1,1,0.6,1.0,0.6,0.0
18 Wheels of Steel American Long Haul,2,1,5.8,0.5,5.8,0.0
1953 - KGB Unleashed,4,0,0.0,0.0,0.0,0.0
1953 NATO vs Warsaw Pact,1,1,5.9,1.0,5.9,0.0
1954 Alcatraz,3,0,0.0,0.0,0.0,0.0
1Heart,1,0,0.0,0.0,0.0,0.0
1Quest,1,1,2.7,1.0,2.7,0.0
3 Stars of Destiny,1,1,4.7,1.0,4.7,0.0
3089 -- Futuristic Action RPG,1,1,0.3,1.0,0.3,0.0
3D Mini Golf,1,1,1.0,1.0,1.0,0.0
3DMark,18,18,240.8,1.0,13.377777777777778,39.53404423525085
3DMark 11,1,1,3.0,1.0,3.0,0.0
