,appid,all-descriptions
007 Legends,-1,
0RBITALIS,278440," Single-player Steam Achievements Steam Trading Cards Steam Workshop Steam Cloud Steam Leaderboards Includes level editor Indie Simulation 0RBITALIS is a satellite launching simulator with a retro-puzzle style. Launch your satellite into orbit and go head to head with the dominant force that formed the entire universe: Gravity. These launches won’t be a spacewalk in the park, there’s all manner of stars, planets, comets, pulsars and more to navigate. Not to mention rival probes that will compete against you and even chase yours down. Oh, and did we mention those anti-gravity probes?FeaturesExperience an accurate gravity simulation with a unique minimalist aesthetic.Explore 100 levels across twelve sectors, each one with its unique gameplay mechanics.Experiment with teleports and bullet time to bend the very fabric of space for that perfect launch.Discover and unlock 39 challenging achievements.Use the intuitive editor to design your own levels and share with the world via Steam Workshop.Supernova Edition includes:12 track 0RBITALIS Soundtrack by Doseone.The Art of 0RBITALIS - Digital Art Book.40+ Background images to use as you wish.To view these extras, right click on 0RBITALIS in your game list, go to ""properties"", go to the ""local files"" tab, and click ""browse local files"". These extras will be in the ""Extra content"" folder. 0RBITALIS is a satellite launching simulator with a retro-puzzle style. Launch your satellite into orbit and go head to head with the dominant force that formed the entire universe: Gravity. These launches won’t be a spacewalk in the park, there’s all manner of stars, planets, comets, pulsars and more to navigate. Not to mention rival probes that will compete against you and even chase yours down. Oh, and did we mention those anti-gravity probes?FeaturesExperience an accurate gravity simulation with a unique minimalist aesthetic.Explore 100 levels across twelve sectors, each one with its unique gameplay mechanics.Experiment with teleports and bullet time to bend the very fabric of space for that perfect launch.Discover and unlock 39 challenging achievements.Use the intuitive editor to design your own levels and share with the world via Steam Workshop.Supernova Edition includes:12 track 0RBITALIS Soundtrack by Doseone.The Art of 0RBITALIS - Digital Art Book.40+ Background images to use as you wish.To view these extras, right click on 0RBITALIS in your game list, go to ""properties"", go to the ""local files"" tab, and click ""browse local files"". These extras will be in the ""Extra content"" folder. 0RBITALIS is a satellite launching simulator with a retro-puzzle style. Launch your satellite into orbit and go head to head with the dominant force that formed the entire universe: Gravity."
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),15540," Single-player Steam Achievements Steam Trading Cards Action Indie Early Access Battle your favorite drum 'n' bass track, or relax as you fly through that trance album. ""Ugly Baby"" takes your MP3 music library and creates floating cities for you to explore. Ten years after the events in Dejobaan's award-winning AaaaaAAaaaAAAaaAAAAaAAAAA!!! -- A Reckless Disregard for Gravity, technology has advanced to the point where individuals can create architecture with colossal 3D printers.You've taken to building giant, kilometers-long aerial sculptures inspired by your own music, and are now BASE jumping from them for sport. These jumps are all about style and timing. Buzz those girders, groove along that building, and finish with a twist for extra points, all the while listening to your own soundtrack. Ugly Baby is currently available as a playable pre-release on Steam.Key features:Play different floating worlds built from your MP3 libraryExecute stunts such as buzzes and grooves.Tweak a city's DNA to warp them and create your own experiences. Battle your favorite drum 'n' bass track, or relax as you fly through that trance album. ""Ugly Baby"" takes your MP3 music library and creates floating cities for you to explore. Ten years after the events in Dejobaan's award-winning AaaaaAAaaaAAAaaAAAAaAAAAA!!! -- A Reckless Disregard for Gravity, technology has advanced to the point where individuals can create architecture with colossal 3D printers.You've taken to building giant, kilometers-long aerial sculptures inspired by your own music, and are now BASE jumping from them for sport. These jumps are all about style and timing. Buzz those girders, groove along that building, and finish with a twist for extra points, all the while listening to your own soundtrack. Ugly Baby is currently available as a playable pre-release on Steam.Key features:Play different floating worlds built from your MP3 libraryExecute stunts such as buzzes and grooves.Tweak a city's DNA to warp them and create your own experiences. Battle your favorite drum 'n' bass track, or relax as you fly through that trance album. ""Ugly Baby"" takes your MP3 music library and creates floating cities for you to explore. Ten years after the events in Dejobaan's award-winning AaaaaAAaaaAAAaaAAAAaAAAAA!!!"
10 Second Ninja,271670," Single-player Steam Achievements Steam Trading Cards Partial Controller Support Steam Cloud Steam Leaderboards Action Indie Ninjas are cool, this is an established fact of the universe. Nazi Robots from space are not cool, they are the complete opposite of cool, and Robot Hitler is out to get you, the world's first ninja.  You have 10 seconds to destroy all Nazi Robots in your vicinity. IT. IS. ON.Become the ultimate Ninja and  take down Robot Hitler’s automated autocracy in this blisteringly fast platformer. Ready, Steady, Ninja! FeaturesBlitz through 40 challenging levels!Fight again and again to get the best time possible and a glorious three star rating!Break your controller or keyboard out of anger!Battle your friends down to the millisecond on the leaderboardsProve you know how to play games and collect all 30 achievementsWarning: This game contains flashing images. It is advised that you do not play if you suffer from photosensitive epilepsy. Ninjas are cool, this is an established fact of the universe. Nazi Robots from space are not cool, they are the complete opposite of cool, and Robot Hitler is out to get you, the world's first ninja.  You have 10 seconds to destroy all Nazi Robots in your vicinity. IT. IS. ON.Become the ultimate Ninja and  take down Robot Hitler’s automated autocracy in this blisteringly fast platformer. Ready, Steady, Ninja! FeaturesBlitz through 40 challenging levels!Fight again and again to get the best time possible and a glorious three star rating!Break your controller or keyboard out of anger!Battle your friends down to the millisecond on the leaderboardsProve you know how to play games and collect all 30 achievementsWarning: This game contains flashing images. It is advised that you do not play if you suffer from photosensitive epilepsy. Ninjas are cool, this is an established fact of the universe. Nazi Robots from space are not cool, they are the complete opposite of cool, and Robot Hitler is out to get you, the world's first ninja. You have 10 seconds to destroy all Nazi Robots in your vicinity. IT. IS. ON."
"10,000,000",227580," Single-player Steam Achievements Steam Trading Cards Action Casual Indie RPG Join us on DiscordAbout the Game10000000 is a Dungeon Crawling Puzzle RPG Matching Game. Run the dungeon, match tiles and run for as long as you can- Monsters blocking your way? Match swords and staves to take down pixel art Orcs, Dragons and Elementals- Can't see a match? Dig into your backpack for items. How about casting a magic spell that changes all the tiles on the puzzle board, or eating some food to give yourself an energy boost.- Battle getting too tough? Use the loot you found to go back to the Blacksmith and Armorer to upgrade your gear to epic status“Freedom costs 10 million. I’m half-hoping I never make it” – Kotaku- It's an RPG too! - Each dungeon and monster fight gives you experience to spend on new skills at at the trainer- Upgrade your castle - Matching stone and wood lets you bring it back home to upgrade your castle“It’s damned good.” – Pocket Tactics - Brew potions to make yourself stronger, or if you are feeling brave, drink potions that make the monsters and chests harder but increase your score.- Roguelike difficulty - It's hard to reach 10000000 but keep replaying the dungeon and you'll get stronger and stronger every run- And while you do it, zone out with some retro music and pixel art 10000000 is a Dungeon Crawling Puzzle RPG Matching Game. Run the dungeon, match tiles and run for as long as you can

- Monsters blocking your way? Match swords and staves to take down pixel art Orcs, Dragons and Elementals

- Can't see a match? Dig into your backpack for items. How about casting a magic spell that changes all the tiles on the puzzle board, or eating some food to give yourself an energy boost.

- Battle getting too tough? Use the loot you found to go back to the Blacksmith and Armorer to upgrade your gear to epic status


“Freedom costs 10 million. I’m half-hoping I never make it” – Kotaku


- It's an RPG too! - Each dungeon and monster fight gives you experience to spend on new skills at at the trainer

- Upgrade your castle - Matching stone and wood lets you bring it back home to upgrade your castle


“It’s damned good.” – Pocket Tactics


 - Brew potions to make yourself stronger, or if you are feeling brave, drink potions that make the monsters and chests harder but increase your score.

- Roguelike difficulty - It's hard to reach 10000000 but keep replaying the dungeon and you'll get stronger and stronger every run

- And while you do it, zone out with some retro music and pixel art 10000000: The Dungeon Crawling Matching Game"
100% Orange Juice,282800," Single-player Multi-player PvP Online PvP Co-op Online Co-op Steam Achievements Steam Trading Cards Steam Cloud Valve Anti-Cheat enabled Stats Steam Leaderboards Indie Strategy 100% Orange Juice is a digital multiplayer board game populated by developer Orange Juice's all-star cast. Characters from Flying Red Barrel, QP Shooting, Suguri and Sora come together with all-new characters to duke it out... with dice.This is a world where dogs, people and machines fly through the air. In that world, a small patch of darkness was born. Infinitesimal at first, it gradually began to envelop everything...A youth named Kai, led by the mysterious life form known as Marie Poppo, begins a journey that will span worlds. The black, bottomless darkness of desire slowly eats away at both Kai and the world itself...Let Marie Poppo lead you into a mysterious world to play. Grab your deck of cards and let the games begin!Features:Dice, cards, stars, battles and pudding4 Single-player campaignsPlayable by up to 4 players onlineCountless battle combinationsUtilize each character's unique combat attributesMore than 50 different cards to collectCharacter abilities in the form of Hyper CardsNew Steam Features:Full HD supportRedesigned multiplayer experience using Steam's lobby systemSpectator modeAvatar customizationNew character skins to unlockVAC enabledCustom language support 100% Orange Juice is a digital multiplayer board game populated by developer Orange Juice's all-star cast. Characters from Flying Red Barrel, QP Shooting, Suguri and Sora come together with all-new characters to duke it out... with dice.This is a world where dogs, people and machines fly through the air. In that world, a small patch of darkness was born. Infinitesimal at first, it gradually began to envelop everything...A youth named Kai, led by the mysterious life form known as Marie Poppo, begins a journey that will span worlds. The black, bottomless darkness of desire slowly eats away at both Kai and the world itself...Let Marie Poppo lead you into a mysterious world to play. Grab your deck of cards and let the games begin!Features:Dice, cards, stars, battles and pudding4 Single-player campaignsPlayable by up to 4 players onlineCountless battle combinationsUtilize each character's unique combat attributesMore than 50 different cards to collectCharacter abilities in the form of Hyper CardsNew Steam Features:Full HD supportRedesigned multiplayer experience using Steam's lobby systemSpectator modeAvatar customizationNew character skins to unlockVAC enabledCustom language support 100% Orange Juice is a digital multiplayer board game populated by developer Orange Juice's all-star cast. Characters from Flying Red Barrel, QP Shooting, Suguri and Sora come together with all-new characters to duke it out... with dice."
1000 Amps,205690," Single-player Adventure Indie Light up the world! As Plug, you are charged with restoring the expansive Amp-Tree-System, and thwarting an enigmatic intruder. Solve puzzles and explore in 1000 Amps!  Key Features: Illuminate the darkness by lighting up whatever you touch. Teleport into any un-occupied space with a simple mouse click. Explore the expansive and labyrinthine Amp-Tree-System, finding new power ups strewn throughout. Tackle challenges in whatever order you like, thanks to the open world design. Over 150 rooms to complete and explore. Save anywhere, at anytime.  Light up the world! As Plug, you are charged with restoring the expansive Amp-Tree-System, and thwarting an enigmatic intruder. Solve puzzles and explore in 1000 Amps!  Key Features: Illuminate the darkness by lighting up whatever you touch. Teleport into any un-occupied space with a simple mouse click. Explore the expansive and labyrinthine Amp-Tree-System, finding new power ups strewn throughout. Tackle challenges in whatever order you like, thanks to the open world design. Over 150 rooms to complete and explore. Save anywhere, at anytime.  Light up the world! As Plug, you are charged with restoring the expansive Amp-Tree-System, and thwarting an enigmatic intruder."
12 Labours of Hercules,342580," Single-player Steam Achievements Steam Trading Cards Steam Cloud Steam Leaderboards Casual Strategy Our new games!http://store.steampowered.com/app/567800/http://store.steampowered.com/app/545820/Join our Steam group to learn more about our games, events and giveawayshttp://steamcommunity.com/groups/jetdogsTry other Hercules adventures:http://store.steampowered.com/app/360640/http://store.steampowered.com/app/360650/Try other Hercules adventures:http://store.steampowered.com/app/396800/http://store.steampowered.com/app/491330http://store.steampowered.com/app/567800/About the GameAccompany Hercules on a quest to rescue his wife, kidnapped by the evil Hades in 12 Labours of Hercules! You'll meet heroes from Ancient Greece as you vanquish beasts, repair roads and construct wonders in this stunning Time Management game!No magical creatures were harmed in the making of the game. They're all actors.Stunning HD graphicsFlying horse includedChallenging unlockable achievementsAction packed mini-games Accompany Hercules on a quest to rescue his wife, kidnapped by the evil Hades in 12 Labours of Hercules! You'll meet heroes from Ancient Greece as you vanquish beasts, repair roads and construct wonders in this stunning Time Management game!

No magical creatures were harmed in the making of the game. They're all actors.
Stunning HD graphics
Flying horse included
Challenging unlockable achievements
Action packed mini-games Accompany Hercules on a quest to rescue his wife, kidnapped by the evil Hades in 12 Labours of Hercules! You'll meet heroes from Ancient Greece as you vanquish beasts, repair roads and construct wonders in this stunning Time Management game!"
12 Labours of Hercules II The Cretan Bull,-1,
12 Labours of Hercules III Girl Power,-1,
